# r/G(r)/dn[At1,At2]:      G(r)[ H, C]            dn(r)
          0.009     -0.0102459753      0.0000000000
          0.028     -0.0307379259      0.0000000000
          0.047     -0.0512298765      0.0000000000
          0.065     -0.0717218271      0.0000000000
          0.084     -0.0922137777      0.0000000000
          0.102     -0.1127057283      0.0000000000
          0.121     -0.1331976789      0.0000000000
          0.140     -0.1536896295      0.0000000000
          0.158     -0.1741815801      0.0000000000
          0.177     -0.1946735307      0.0000000000
          0.196     -0.2151654813      0.0000000000
          0.214     -0.2356574319      0.0000000000
          0.233     -0.2561493824      0.0000000000
          0.251     -0.2766413330      0.0000000000
          0.270     -0.2971332836      0.0000000000
          0.289     -0.3176252342      0.0000000000
          0.307     -0.3381171848      0.0000000000
          0.326     -0.3586091354      0.0000000000
          0.345     -0.3791010860      0.0000000000
          0.363     -0.3995930366      0.0000000000
          0.382     -0.4200849872      0.0000000000
          0.400     -0.4405769378      0.0000000000
          0.419     -0.4610688884      0.0000000000
          0.438     -0.4815608390      0.0000000000
          0.456     -0.5020527896      0.0000000000
          0.475     -0.5225447402      0.0000000000
          0.494     -0.5430366908      0.0000000000
          0.512     -0.5635286414      0.0000000000
          0.531     -0.5840205920      0.0000000000
          0.549     -0.6045125426      0.0000000000
          0.568     -0.6250044932      0.0000000000
          0.587     -0.6454964438      0.0000000000
          0.605     -0.6659883944      0.0000000000
          0.624     -0.6864803450      0.0000000000
          0.643     -0.7069722956      0.0000000000
          0.661     -0.7274642462      0.0000000000
          0.680     -0.7479561967      0.0000000000
          0.698     -0.7684481473      0.0000000000
          0.717     -0.7889400979      0.0000000000
          0.736     -0.8094320485      0.0000000000
          0.754     -0.8299239991      0.0000000000
          0.773     -0.8504159497      0.0000000000
          0.792     -0.8709079003      0.0000000000
          0.810     -0.8913998509      0.0000000000
          0.829     -0.9118918015      0.0000000000
          0.847     -0.9323837521      0.0000000000
          0.866     -0.9528757027      0.0000000000
          0.885     -0.9733676533      0.0000000000
          0.903     -0.9938596039      0.0000000000
          0.922     -1.0143515545      0.0000000000
          0.941     -1.0348435051      0.0000000000
          0.959     -1.0553354557      0.0000000000
          0.978     -1.0758274063      0.0000000000
          0.996     -1.0963193569      0.0000000000
          1.015     -1.1056761549      0.0000526316
          1.034     -0.7655292322      0.0018421053
          1.052      0.5822482265      0.0103684211
          1.071      6.1885571473      0.0471052632
          1.090     14.0507261183      0.1244736842
          1.108     20.5260023026      0.2366842105
          1.127     18.6916213654      0.3412631579
          1.145     11.2126395465      0.4077894737
          1.164      4.2539065407      0.4377894737
          1.183      0.0367429025      0.4451578947
          1.201     -0.9641945950      0.4471578947
          1.220     -1.3051619362      0.4473684211
          1.239     -1.3627147146      0.4473684211
          1.257     -1.3832066652      0.4473684211
          1.276     -1.4036986158      0.4473684211
          1.294     -1.4241905664      0.4473684211
          1.313     -1.4446825170      0.4473684211
          1.332     -1.4651744676      0.4473684211
          1.350     -1.4856664182      0.4473684211
          1.369     -1.5061583688      0.4473684211
          1.388     -1.5266503194      0.4473684211
          1.406     -1.5471422700      0.4473684211
          1.425     -1.5676342206      0.4473684211
          1.443     -1.5881261712      0.4473684211
          1.462     -1.6086181218      0.4473684211
          1.481     -1.6291100724      0.4473684211
          1.499     -1.6496020230      0.4473684211
          1.518     -1.6700939736      0.4473684211
          1.537     -1.6905859242      0.4473684211
          1.555     -1.7110778748      0.4473684211
          1.574     -1.7315698253      0.4473684211
          1.592     -1.7520617759      0.4473684211
          1.611     -1.7725537265      0.4473684211
          1.630     -1.7930456771      0.4473684211
          1.648     -1.8135376277      0.4473684211
          1.667     -1.8340295783      0.4473684211
          1.686     -1.8545215289      0.4473684211
          1.704     -1.8750134795      0.4473684211
          1.723     -1.8955054301      0.4473684211
          1.741     -1.9159973807      0.4473684211
